,koi_duration,koi_depth,koi_prad,koi_ror,tce_duration,tce_depth,tce_prad,koi_steff,koi_srad,koi_smass,koi_slogg,tce_steff,tce_sradius,tce_slogg,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_model_snr,koi_max_mult_ev
0,2.9575,615.8,2.26,0.022344,,,,5455.0,0.927,0.919,4.467,,,,0.0,0.0,0.0,0.0,35.8,28.47082
1,4.507,874.8,2.83,0.027954,,,,5455.0,0.927,0.919,4.467,,,,0.0,0.0,0.0,0.0,25.8,20.109507
3,2.40641,8079.2,33.46,0.387394,,,,5805.0,0.791,0.836,4.564,,,,0.0,1.0,0.0,0.0,505.6,541.8951
4,1.6545,603.3,2.75,0.024064,,,,6031.0,1.046,1.095,4.438,,,,0.0,0.0,0.0,0.0,40.9,33.1919
5,4.5945,1517.5,3.9,0.036779,,,,6046.0,0.972,1.053,4.486,,,,0.0,0.0,0.0,0.0,66.5,55.204865
6,3.1402,686.0,2.77,0.026133,,,,6046.0,0.972,1.053,4.486,,,,0.0,0.0,0.0,0.0,40.2,33.546658
7,2.429,226.5,1.59,0.014983,,,,6046.0,0.972,1.053,4.486,,,,0.0,0.0,0.0,0.0,15.0,12.325094
8,5.022,233.7,39.21,0.183387,,,,6227.0,1.958,1.358,3.986,,,,0.0,1.0,1.0,0.0,47.7,46.15308
9,3.5347,4914.3,5.76,0.062161,,,,5031.0,0.848,0.801,4.485,,,,0.0,0.0,0.0,0.0,161.9,137.44981
10,1.74319,14230.9,13.04,0.123871,,,,5820.0,0.964,0.971,4.457,,,,0.0,0.0,0.0,0.0,4304.3,6468.04
11,3.88864,6674.7,16.1,0.075522,,,,6440.0,1.952,1.449,4.019,,,,0.0,1.0,0.0,0.0,5945.9,3862.1846
12,3.19843,9145.7,14.59,0.092086,,,,6225.0,1.451,1.132,4.169,,,,0.0,0.0,0.0,0.0,1741.5,1725.5824
13,2.6302,131.1,1.16,0.010424,,,,5833.0,1.022,0.974,4.407,,,,0.0,0.0,0.0,0.0,50.6,41.28873
14,3.6399,17984.3,150.51,1.625358,,,,5795.0,0.848,0.938,4.554,,,,0.0,1.0,0.0,0.0,622.1,628.3708
15,12.2155,8918.7,7.18,0.096729,,,,5043.0,0.68,0.657,4.591,,,,0.0,1.0,0.0,0.0,214.7,320.90817
16,4.79843,74284.0,49.29,0.476633,,,,6117.0,0.947,1.025,4.496,,,,0.0,1.0,0.0,0.0,2317.0,2174.4263
17,9.4378,10478.9,7.94,0.092509,,,,5152.0,0.786,0.741,4.517,,,,0.0,1.0,0.0,0.0,303.4,258.8247
18,3.2875,1288.3,2.47,0.032563,,,,4856.0,0.696,0.676,4.583,,,,0.0,0.0,0.0,0.0,87.2,71.48005
19,1.5821,1912.7,2.85,0.038838,,,,4537.0,0.672,0.761,4.648,,,,0.0,0.0,0.0,0.0,65.4,52.36939
20,3.6129,397.9,1.58,0.017673,,,,4989.0,0.819,0.781,4.504,,,,0.0,1.0,1.0,1.0,48.2,34.570904
21,3.0278,831.0,2.55,0.025706,,,,5185.0,0.91,0.831,4.44,,,,0.0,0.0,0.0,0.0,60.6,48.504196
22,2.5984,363.3,1.7,0.017105,,,,5185.0,0.91,0.831,4.44,,,,0.0,0.0,0.0,0.0,28.9,22.749151
23,3.596,217.4,1.3,0.013127,,,,5185.0,0.91,0.831,4.44,,,,0.0,0.0,0.0,0.0,14.1,9.776852
24,6.8057,24926.6,41.5,0.240528,,,,5543.0,1.58,1.103,4.081,,,,0.0,1.0,0.0,0.0,994.0,
25,3.4555,857.2,2.95,0.032666,,,,4954.0,0.828,0.791,4.5,,,,0.0,0.0,0.0,0.0,34.3,24.54073
26,2.1717,934.7,2.78,0.030014,,,,5339.0,0.847,0.931,4.552,,,,0.0,0.0,0.0,0.0,28.2,24.283327
27,2.875,750.8,2.3,0.025377,,,,5644.0,0.831,0.928,4.564,,,,0.0,0.0,0.0,0.0,61.8,52.913242
28,1.5155,2211.7,4.53,0.049899,,,,5714.0,0.831,0.926,4.563,,,,0.0,0.0,1.0,0.0,181.1,130.6654
29,53.412,18090.6,14.14,0.131705,,,,5520.0,0.983,1.03,4.466,,,,0.0,1.0,1.0,0.0,642.7,96.96236
30,7.633,5123.3,39.87,0.334628,,,,6144.0,1.091,1.093,4.402,,,,0.0,1.0,0.0,0.0,85.3,73.10389
31,5.588,724.2,2.82,0.024901,,,,5481.0,1.036,0.915,4.369,,,,0.0,0.0,0.0,0.0,34.7,31.946487
32,4.6297,2213.9,3.86,0.041693,,,,5031.0,0.848,0.801,4.485,,,,0.0,0.0,0.0,0.0,51.2,37.877567
33,2.5819,1036.9,2.65,0.028604,,,,5031.0,0.848,0.801,4.485,,,,0.0,0.0,0.0,0.0,47.1,35.96252
34,3.2554,1121.9,3.1,0.034369,,,,5015.0,0.826,0.785,4.499,,,,0.0,0.0,0.0,0.0,33.2,31.066507
35,4.7971,1804.8,3.36,0.03852,,,,5586.0,0.798,0.844,4.56,,,,0.0,0.0,0.0,0.0,80.0,61.372303
36,6.473,652.0,2.12,0.02432,,,,5586.0,0.798,0.844,4.56,,,,0.0,0.0,0.0,0.0,19.1,14.678595
37,2.22739,9802.0,12.21,0.103379,,,,5712.0,1.082,0.976,4.359,,,,0.0,0.0,0.0,0.0,696.5,670.4895
38,3.3827,860.4,6.54,0.06584,,,,5550.0,0.91,0.889,4.468,,,,0.0,1.0,1.0,0.0,48.3,39.745068
39,3.7362,460.0,2.1,0.019817,,,,6075.0,0.969,1.048,4.486,,,,0.0,0.0,0.0,0.0,29.5,26.501581
40,5.2514,11766.3,12.42,0.106953,,,,6074.0,1.063,1.014,4.391,,,,0.0,1.0,0.0,0.0,513.4,509.4985
41,2.9472,601.6,2.94,0.024775,,,,5779.0,1.087,0.941,4.339,,,,0.0,0.0,0.0,0.0,166.7,163.47614
42,10.5989,2793.1,5.5,0.048175,,,,5468.0,1.046,0.93,4.367,,,,0.0,0.0,0.0,0.0,141.1,124.52492
43,2.2514,1041.6,2.52,0.029305,,,,5592.0,0.787,0.862,4.582,,,,0.0,0.0,0.0,0.0,43.4,36.34974
44,3.1744,1487.3,4.43,0.036796,,,,6174.0,1.103,1.162,4.417,,,,0.0,0.0,0.0,0.0,128.6,94.70979
45,2.50587,16813.7,12.21,0.117059,,,,5532.0,0.955,0.941,4.452,,,,0.0,0.0,0.0,0.0,1406.8,1328.3038
46,14.561,8503.7,7.34,0.095386,,,,5040.0,0.705,0.782,4.628,,,,0.0,1.0,1.0,0.0,236.1,193.4089
47,2.6557,426.7,1.89,0.018878,,,,5880.0,0.917,1.01,4.518,,,,0.0,0.0,0.0,0.0,35.6,31.786789
48,3.15,1010.9,3.25,0.02933,,,,5714.0,1.015,1.007,4.428,,,,0.0,0.0,0.0,0.0,71.1,58.259056
49,2.6255,1023.5,3.95,0.035628,,,,5714.0,1.015,1.007,4.428,,,,0.0,0.0,0.0,0.0,37.9,29.930164
50,3.573,1510.9,3.07,0.03681,,,,5129.0,0.763,0.846,4.595,,,,0.0,0.0,0.0,0.0,48.2,41.269753
51,3.3539,511.7,2.64,0.023908,,,,5854.0,1.012,0.951,4.406,,,,0.0,0.0,0.0,0.0,88.4,76.76887
52,3.0014,192.4,1.79,0.01512,,,,5779.0,1.087,0.941,4.339,,,,0.0,0.0,0.0,0.0,47.1,39.793564
53,2.3078,24446.2,15.03,0.143936,,,,6108.0,0.956,0.981,4.469,,,,0.0,1.0,0.0,0.0,835.6,1044.7283
54,3.0249,1127.1,2.0,0.029758,,,,4126.0,0.615,0.633,4.661,,,,0.0,0.0,0.0,0.0,28.9,28.122635
55,2.0805,1306.1,2.16,0.03209,,,,4126.0,0.615,0.633,4.661,,,,0.0,0.0,0.0,0.0,38.7,41.450657
56,4.007,1122.3,1.99,0.029681,,,,4126.0,0.615,0.633,4.661,,,,0.0,0.0,0.0,0.0,21.7,19.803268
57,2.683,5226.5,6.02,0.068178,,,,5497.0,0.809,0.907,4.577,,,,0.0,0.0,0.0,0.0,345.2,360.1958
59,1.1196,821.7,1.99,0.032248,,,,4149.0,0.564,0.578,4.698,,,,0.0,0.0,0.0,0.0,38.9,30.578562
60,6.5036,14488.8,11.23,0.111248,,,,5746.0,0.924,0.77,4.393,,,,0.0,1.0,0.0,0.0,745.2,691.1691
61,1.9982,971.2,2.34,0.027998,,,,5005.0,0.765,0.85,4.595,,,,0.0,0.0,0.0,0.0,82.4,63.58795
64,2.5237,2804.5,2.65,0.051287,,,,3688.0,0.473,0.503,4.79,,,,0.0,0.0,0.0,0.0,71.0,62.376225
65,4.3084,2793.3,5.31,0.049152,,,,5992.0,0.989,0.927,4.415,,,,0.0,0.0,0.0,0.0,221.1,210.22159
66,7.5377,3001.0,4.86,0.051358,,,,5485.0,0.867,0.986,4.556,,,,0.0,0.0,0.0,0.0,312.1,234.95987
67,2.7594,1219.8,1.93,0.031585,,,,4077.0,0.56,0.576,4.702,,,,0.0,0.0,0.0,0.0,37.1,28.490973
68,1.369,1053.3,1.91,0.031153,,,,4077.0,0.56,0.576,4.702,,,,0.0,0.0,0.0,0.0,30.3,21.658537
69,3.8896,916.6,2.66,0.032536,,,,5557.0,0.75,0.832,4.603,,,,0.0,0.0,0.0,0.0,35.8,31.608551
70,6.802,615.2,2.87,0.025934,,,,5854.0,1.012,0.951,4.406,,,,0.0,0.0,0.0,0.0,83.7,65.59482
71,3.813,725.3,21.55,0.243351,,,,5295.0,0.811,0.853,4.551,,,,0.0,1.0,1.0,0.0,39.0,32.72262
72,2.1145,1620.6,32.43,0.305244,,,,5735.0,0.973,0.889,4.41,,,,0.0,0.0,1.0,0.0,103.6,45.885685
73,3.0099,837.5,3.12,0.026533,,,,6214.0,1.076,1.169,4.442,,,,0.0,0.0,0.0,0.0,64.5,48.726124
74,4.0491,950.4,3.32,0.028255,,,,6214.0,1.076,1.169,4.442,,,,0.0,0.0,0.0,0.0,51.5,40.04205
75,2.505,459.9,1.88,0.019561,,,,5799.0,0.878,0.975,4.539,,,,0.0,0.0,0.0,1.0,11.2,
76,2.7245,1123.5,2.59,0.030119,,,,5354.0,0.788,0.884,4.587,,,,0.0,0.0,0.0,0.0,47.6,39.867977
77,5.039,931.3,2.36,0.027422,,,,5354.0,0.788,0.884,4.587,,,,0.0,0.0,0.0,0.0,20.1,15.139797
78,5.1497,6105.6,7.4,0.073758,,,,5795.0,0.919,0.992,4.508,,,,0.0,0.0,0.0,0.0,277.2,207.6196
79,1.8868,1976.3,46.58,0.318591,,,,6017.0,1.339,1.083,4.22,,,,0.0,1.0,0.0,0.0,112.6,67.78838
80,3.836,871.7,28.59,0.247006,,,,5927.0,1.06,1.05,4.409,,,,0.0,1.0,1.0,0.0,38.2,34.775192
81,2.4282,382.1,2.06,0.017724,,,,5519.0,1.062,0.921,4.35,,,,0.0,0.0,0.0,0.0,38.9,34.037075
82,2.0844,1304.0,2.77,0.037414,,,,5653.0,0.679,0.767,4.656,,,,0.0,0.0,0.0,0.0,50.8,43.840405
83,2.0792,10967.4,27.51,0.396105,,,,5255.0,0.636,0.709,4.678,,,,0.0,1.0,1.0,1.0,299.7,277.1132
85,3.3203,1494.7,1.96,0.036455,,,,3950.0,0.493,0.502,4.754,,,,0.0,0.0,0.0,0.0,35.2,27.241827
86,4.758,1394.7,1.83,0.033974,,,,3950.0,0.493,0.502,4.754,,,,0.0,0.0,0.0,0.0,26.0,18.020908
87,5.351,104.0,1.31,0.011879,,,,5854.0,1.012,0.951,4.406,,,,0.0,0.0,0.0,0.0,17.1,10.87813
88,2.186,520.8,1.2,0.022312,,,,3950.0,0.493,0.502,4.754,,,,0.0,0.0,0.0,0.0,15.9,12.582854
89,2.3111,8544.8,7.34,0.08689,,,,5557.0,0.774,0.866,4.592,,,,0.0,0.0,0.0,0.0,370.8,375.5263
90,5.228,986.8,2.32,0.028938,,,,5395.0,0.734,0.821,4.615,,,,0.0,0.0,0.0,0.0,32.1,25.599396
91,2.38963,7969.0,9.73,0.080543,,,,5539.0,1.106,0.935,4.322,,,,0.0,0.0,0.0,0.0,799.7,712.5235
93,6.222,322.6,17.47,0.194187,,,,5657.0,0.824,0.919,4.567,,,,1.0,0.0,1.0,0.0,14.2,12.162734
94,3.1449,1019.8,2.57,0.028718,,,,5349.0,0.82,0.824,4.526,,,,0.0,0.0,0.0,0.0,53.9,47.37303
95,7.7915,16917.7,13.28,0.118805,,,,5627.0,1.024,0.874,4.359,,,,0.0,1.0,0.0,0.0,636.8,589.42316
96,8.9302,10565.7,8.9,0.094044,,,,5485.0,0.867,0.986,4.556,,,,0.0,0.0,0.0,0.0,138.8,115.57215
97,3.262,55.8,0.79,0.007192,,,,5854.0,1.012,0.951,4.406,,,,0.0,0.0,0.0,0.0,14.4,11.552998
98,6.6188,20280.4,12.19,0.128744,,,,5485.0,0.867,0.986,4.556,,,,0.0,0.0,0.0,0.0,347.2,323.38303
99,4.803,488.0,1.91,0.02018,,,,5485.0,0.867,0.986,4.556,,,,0.0,0.0,0.0,0.0,11.6,
100,2.1541,816.1,25.69,0.257087,,,,5663.0,0.915,1.034,4.53,,,,0.0,0.0,1.0,1.0,38.8,32.004185
101,5.414,589.2,1.7,0.021279,,,,4667.0,0.731,0.737,4.578,,,,0.0,0.0,1.0,1.0,48.5,35.481506
102,1.9604,15044.5,11.3,0.115879,,,,5934.0,0.893,0.901,4.491,,,,0.0,0.0,0.0,0.0,1009.3,1015.921
103,2.335,1008.7,2.5,0.028315,,,,5170.0,0.807,0.891,4.574,,,,0.0,0.0,0.0,0.0,70.6,57.638233
104,4.0595,2105.5,3.41,0.041039,,,,4905.0,0.761,0.739,4.544,,,,0.0,0.0,0.0,0.0,78.5,70.729904
105,1.9104,1632.6,2.03,0.037683,,,,3950.0,0.493,0.502,4.754,,,,0.0,0.0,0.0,0.0,71.6,58.181076
106,2.0067,1339.2,30.26,0.295115,,,,5926.0,0.939,1.03,4.506,,,,0.0,1.0,1.0,0.0,64.9,50.679256
107,4.4056,893.6,3.12,0.027096,,,,5775.0,1.053,1.026,4.405,,,,0.0,0.0,0.0,0.0,46.1,36.000114
108,4.1654,140.7,1.7,0.011136,,,,5847.0,1.402,1.113,4.191,,,,0.0,0.0,0.0,0.0,50.6,33.185894
109,4.793,418.0,2.76,0.024042,,,,5775.0,1.053,1.026,4.405,,,,0.0,0.0,0.0,0.0,28.5,24.258644
