kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_kepmag,ra,dec,catalog,target_id,label
757450,K00889.01,Kepler-75 b,CONFIRMED,8.884922995,1.636e-06,-1.636e-06,16053.4,47.4,-47.4,2.07004,0.00709,-0.00709,10.51,0.56,-0.57,0.843,0.045,-0.045,5332.0,106.0,-96.0,4.5,0.05,-0.036,15.264,291.1376,36.577381,KEPLER_CONFIRMED,757450,1
1026957,K00958.01,Kepler-1731 b,CONFIRMED,21.76129812,1.727e-05,-1.727e-05,1300.7,26.8,-26.8,1.243,0.026,-0.026,2.53,0.16,-0.1,0.72,0.047,-0.029,4859.0,97.0,-97.0,4.612,0.015,-0.045,12.559,291.25449,36.74361,KEPLER_CONFIRMED,1026957,1
1161345,K00984.01,Kepler-1973 b,CONFIRMED,4.28746668,1.524e-05,-1.524e-05,790.1,49.7,-49.7,1.5693,0.0785,-0.0785,2.29,0.22,-0.1,0.815,0.08,-0.034,5296.0,105.0,-105.0,4.576,0.015,-0.085,11.631,291.0488,36.839882,KEPLER_CONFIRMED,1161345,1
1432789,K00992.01,Kepler-745 b,CONFIRMED,9.93146307,5.186e-05,-5.186e-05,398.6,16.4,-16.4,5.678,0.127,-0.127,2.41,0.39,-0.35,1.22,0.196,-0.176,5782.0,78.0,-78.0,4.28,0.137,-0.112,15.214,291.49942,37.05928,KEPLER_CONFIRMED,1432789,1
1717722,K03145.01,Kepler-1977 b,CONFIRMED,4.53702121,2.498e-05,-2.498e-05,504.4,36.5,-36.5,1.813,0.124,-0.124,1.66,0.19,-0.11,0.688,0.079,-0.045,4805.0,144.0,-144.0,4.633,0.027,-0.059,15.689,290.61798,37.289089,KEPLER_CONFIRMED,1717722,1
1718189,K00993.02,Kepler-262 b,CONFIRMED,13.0607936,0.0001053,-0.0001053,236.6,14.1,-14.1,3.215,0.195,-0.195,1.45,0.38,-0.13,0.876,0.234,-0.078,5830.0,146.0,-161.0,4.54,0.044,-0.187,14.246,290.72867,37.252651,KEPLER_CONFIRMED,1718189,1
1718958,K04053.01,Kepler-1934 b,CONFIRMED,1.41975831,1.229e-05,-1.229e-05,60.9,8.8,-8.8,1.429,0.239,-0.239,0.85,0.13,-0.08,1.035,0.157,-0.105,5925.0,107.0,-119.0,4.394,0.084,-0.116,12.801,290.91934,37.28717,KEPLER_CONFIRMED,1718958,1
1724719,K04212.01,Kepler-1569 b,CONFIRMED,5.79179934,3.35e-05,-3.35e-05,118.5,7.2,-7.2,3.474,0.132,-0.132,1.69,0.31,-0.26,1.318,0.243,-0.199,6174.0,74.0,-86.0,4.244,0.125,-0.125,13.96,292.20471,37.221218,KEPLER_CONFIRMED,1724719,1
1725016,K01007.01,Kepler-748 b,CONFIRMED,7.40742502,3.66e-05,-3.66e-05,442.0,21.0,-21.0,3.675,0.101,-0.101,2.01,0.62,-0.21,0.961,0.297,-0.099,5922.0,184.0,-205.0,4.474,0.054,-0.216,15.242,292.26291,37.236992,KEPLER_CONFIRMED,1725016,1
1849702,K02538.01,Kepler-1854 b,CONFIRMED,39.8312536,0.0002066,-0.0002066,388.8,29.7,-29.7,2.442,0.163,-0.163,1.46,0.1,-0.06,0.759,0.05,-0.034,5026.0,100.0,-100.0,4.58,0.024,-0.048,14.125,286.28595,37.387058,KEPLER_CONFIRMED,1849702,1
1865042,K01002.01,Kepler-746 b,CONFIRMED,3.4815917,1.036e-05,-1.036e-05,135.2,6.8,-6.8,1.8069,0.0747,-0.0747,1.17,0.14,-0.15,1.022,0.129,-0.129,5405.0,108.0,-97.0,4.374,0.121,-0.088,13.615,290.68225,37.35511,KEPLER_CONFIRMED,1865042,1
1871056,K01001.01,Kepler-264 b,CONFIRMED,40.8065333,0.0002083,-0.0002083,313.9,6.2,-6.2,13.135,0.125,-0.125,3.71,0.62,-1.0,2.097,0.35,-0.569,6207.0,112.0,-125.0,3.963,0.195,-0.105,13.038,292.04462,37.37624,KEPLER_CONFIRMED,1871056,1
1872821,K02351.01,Kepler-1828 b,CONFIRMED,10.27380957,5.929e-05,-5.929e-05,352.8,20.5,-20.5,3.252,0.141,-0.141,1.68,0.16,-0.08,0.899,0.084,-0.045,5806.0,69.0,-87.0,4.528,0.023,-0.068,14.909,292.42758,37.320808,KEPLER_CONFIRMED,1872821,1
