kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
2304168,2,0,431.719000,1.180250000e-02,219.298,1.838380000e-02,9.3080000e-01,3.8710000e-02,13.2200,1.1440000e+00,4.8840000e+02,5.3700e+01,1.0320000e+01,8.7680000e+00,4.5680000e+00,4.94e+02,1.040000e+02,14.09,11.85,7221.00,327.00,3.67,0.49,3.332,1.718
2304235,1,0,0.570607,5.551820000e-06,132.049,6.989240000e-04,9.0000000e-01,2.6870000e-01,1.1600,1.1590000e-01,7.5150000e+01,5.4500e+00,2.0390000e+01,2.7830000e+01,2.0180000e+01,0.00e+00,-1.000000e+00,0.00,-1.00,4896.00,172.00,2.12,0.56,26.320,17.390
2304566,1,0,0.689480,4.752780000e-05,131.833,1.983840000e-02,3.0850000e-01,4.5490000e+01,5.2360,7.3650000e-01,3.7940000e+00,1.9230e+00,2.5740000e+00,1.1680000e+00,3.2680000e+00,0.00e+00,-1.000000e+00,0.00,-1.00,7059.00,269.00,3.29,0.43,5.894,2.825
2304320,1,0,16.540800,4.285770000e-05,133.952,2.193080000e-03,8.8480000e-01,2.2350000e-01,2.7150,3.8630000e-01,3.6670000e+02,1.2290e+01,3.0830000e+01,1.7630000e+00,4.1400000e-01,5.70e+02,1.660000e+01,24.93,2.91,5064.00,101.00,4.57,0.05,0.769,0.049
2303365,2,0,0.520697,8.654280000e-06,132.003,9.162350000e-04,9.0080000e-01,4.1550000e-01,1.0350,2.3270000e-01,1.2360000e+02,1.3350e+01,1.8950000e+01,4.6860000e+00,2.7250000e+00,0.00e+00,-1.000000e+00,0.00,-1.00,7517.00,339.00,3.64,0.46,3.603,1.762
2303102,10,0,480.481000,2.095320000e-02,161.570,3.073540000e-02,8.8250000e-01,1.8170000e-01,15.5600,2.3360000e+00,3.0990000e+02,7.1230e+01,6.8630000e+00,2.6140000e+00,9.2500000e-01,2.50e+02,2.980000e+01,0.92,0.44,5465.00,164.00,4.21,0.28,1.257,0.352
2303903,1,0,3.708560,2.148680000e-05,134.480,3.688440000e-03,9.6480000e-01,4.3470000e-02,2.0730,5.0010000e-01,3.0240000e+02,4.0420e+01,1.0770000e+01,1.7890000e+00,4.3770000e-01,9.95e+02,6.310000e+01,231.91,58.84,5420.00,162.00,4.60,0.12,0.771,0.147
2303365,1,0,0.520693,1.355630000e-05,131.701,1.192510000e-03,7.2070000e-02,1.2230000e+02,0.5068,8.6170000e-02,8.2170000e+01,1.5970e+01,9.1150000e+00,3.4390000e+00,5.5540000e+00,0.00e+00,-1.000000e+00,0.00,-1.00,7517.00,339.00,3.64,0.46,3.603,1.762
2304604,1,0,0.845263,1.272340000e-05,131.673,2.489170000e-03,9.0150000e-01,5.5860000e-01,2.3350,6.0910000e-01,9.0430000e+01,1.6310e+01,7.4380000e+00,1.7150000e+00,1.0970000e+00,2.29e+03,2.350000e+02,6452.57,2650.68,5525.00,82.00,4.05,0.24,1.504,0.402
2305255,1,0,24.569400,1.019190000e-03,155.963,3.343430000e-02,1.0000000e+00,6.4210000e-02,31.1700,2.1280000e+00,6.4970000e+02,1.9970e+02,1.1930000e+01,4.7460000e+00,4.2490000e+00,6.38e+02,6.170000e+01,39.08,15.12,5977.00,197.00,4.46,0.20,0.956,0.293
757099,1,0,0.723930,2.191430000e-05,131.691,4.358580000e-03,1.9830000e-01,2.1550000e+01,6.2410,7.2620000e-01,7.2850000e+01,1.5800e+01,4.8380000e+00,1.7830000e+00,2.1020000e+00,2.78e+03,7.400000e+02,14129.44,15039.31,5519.00,182.00,3.82,0.64,2.109,1.251
892376,1,0,607.711000,8.982250000e-03,207.635,1.199710000e-02,5.5040000e-01,1.5770000e+00,12.5800,1.4610000e+00,1.0500000e+03,2.0480e+02,6.3560000e+00,1.9980000e+00,7.9780000e-01,1.25e+02,6.210000e+00,0.06,0.01,3973.00,152.00,4.66,0.06,0.605,0.074
757450,1,0,8.884920,1.215220000e-06,134.452,1.031710000e-04,3.9540000e-02,1.4070000e+00,2.0740,2.4500000e-02,1.5940000e+04,4.1340e+01,4.3120000e+02,1.0450000e+01,5.7930000e-01,7.70e+02,2.240000e+01,83.33,9.68,5332.00,106.00,4.50,0.05,0.843,0.045
892376,2,0,1.021880,8.715820000e-06,131.812,2.652370000e-03,8.9080000e-01,1.8890000e-01,5.9940,5.8270000e-01,9.1170000e+01,8.0480e+00,1.3640000e+01,6.9470000e-01,1.6530000e-01,1.05e+03,5.220000e+01,289.74,57.53,3973.00,152.00,4.66,0.06,0.605,0.074
892376,4,0,405.727000,1.117600000e-02,498.041,1.988000000e-02,3.7600000e-01,2.2590000e+01,4.2790,2.9720000e+00,1.4900000e+03,4.6550e+02,9.3280000e+00,2.3110000e+00,6.7490000e+00,1.43e+02,7.100000e+00,0.10,0.02,3973.00,152.00,4.66,0.06,0.605,0.074
892376,3,0,85.741100,-1.000000000e+00,182.874,-1.000000000e+00,1.0000000e-01,-1.0000000e+00,12.5000,-1.0000000e+00,8.3950000e+02,-1.0000e+00,-1.0000000e+00,1.6960000e+00,-1.0000000e+00,2.40e+02,-1.000000e+00,0.79,-1.00,3973.00,152.00,4.66,0.06,0.605,0.074
892376,5,0,126.081000,2.991180000e-03,201.665,1.954510000e-02,6.1230000e-01,1.6920000e+00,12.6400,1.7200000e+00,7.8760000e+02,1.5510e+02,7.3680000e+00,1.7580000e+00,8.8330000e-01,2.11e+02,1.050000e+01,0.47,0.09,3973.00,152.00,4.66,0.06,0.605,0.074
892772,1,0,5.092590,3.049980000e-05,133.454,4.620160000e-03,8.9960000e-01,3.1800000e-01,3.6420,8.1810000e-01,2.3970000e+02,1.6490e+01,1.5340000e+01,1.4110000e+00,5.2680000e-01,8.44e+02,4.100000e+01,120.07,23.34,5037.00,181.00,4.55,0.07,0.751,0.079
