,target_id,tce_plnt_num,tce_rogue_flag,period,tce_period_err,epoch,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,label,catalog
0,2304168,2,0,431.719,0.0118025,219.298,0.0183838,0.9308,0.03871,13.22,1.144,488.4,53.7,10.32,8.768,4.568,494.0,104.0,14.09,11.85,7221.0,327.0,3.67,0.49,3.332,1.718,0,TCE
1,2304235,1,0,0.570607,5.55182e-06,132.049,0.000698924,0.9,0.2687,1.16,0.1159,75.15,5.45,20.39,27.83,20.18,0.0,-1.0,0.0,-1.0,4896.0,172.0,2.12,0.56,26.32,17.39,0,TCE
2,2304566,1,0,0.68948,4.75278e-05,131.833,0.0198384,0.3085,45.49,5.236,0.7365,3.794,1.923,2.574,1.168,3.268,0.0,-1.0,0.0,-1.0,7059.0,269.0,3.29,0.43,5.894,2.825,0,TCE
3,2304320,1,0,16.5408,4.28577e-05,133.952,0.00219308,0.8848,0.2235,2.715,0.3863,366.7,12.29,30.83,1.763,0.414,570.0,16.6,24.93,2.91,5064.0,101.0,4.57,0.05,0.769,0.049,0,TCE
4,2303365,2,0,0.520697,8.65428e-06,132.003,0.000916235,0.9008,0.4155,1.035,0.2327,123.6,13.35,18.95,4.686,2.725,0.0,-1.0,0.0,-1.0,7517.0,339.0,3.64,0.46,3.603,1.762,0,TCE
5,2303102,10,0,480.481,0.0209532,161.57,0.0307354,0.8825,0.1817,15.56,2.336,309.9,71.23,6.863,2.614,0.925,250.0,29.8,0.92,0.44,5465.0,164.0,4.21,0.28,1.257,0.352,0,TCE
6,2303903,1,0,3.70856,2.14868e-05,134.48,0.00368844,0.9648,0.04347,2.073,0.5001,302.4,40.42,10.77,1.789,0.4377,995.0,63.1,231.91,58.84,5420.0,162.0,4.6,0.12,0.771,0.147,0,TCE
7,2303365,1,0,0.520693,1.35563e-05,131.701,0.00119251,0.07207,122.3,0.5068,0.08617,82.17,15.97,9.115,3.439,5.554,0.0,-1.0,0.0,-1.0,7517.0,339.0,3.64,0.46,3.603,1.762,0,TCE
8,2304604,1,0,0.845263,1.27234e-05,131.673,0.00248917,0.9015,0.5586,2.335,0.6091,90.43,16.31,7.438,1.715,1.097,2290.0,235.0,6452.57,2650.68,5525.0,82.0,4.05,0.24,1.504,0.402,0,TCE
9,2305255,1,0,24.5694,0.00101919,155.963,0.0334343,1.0,0.06421,31.17,2.128,649.7,199.7,11.93,4.746,4.249,638.0,61.7,39.08,15.12,5977.0,197.0,4.46,0.2,0.956,0.293,0,TCE
