,Unnamed: 0,target_id,kepoi_name,kepler_name,ra,ra_err,ra_str,dec,dec_err,dec_str,koi_gmag,koi_gmag_err,koi_rmag,koi_rmag_err,koi_imag,koi_imag_err,koi_zmag,koi_zmag_err,koi_jmag,koi_jmag_err,koi_hmag,koi_hmag_err,koi_kmag,koi_kmag_err,koi_kepmag,koi_kepmag_err,koi_delivname,koi_vet_stat,koi_quarters,koi_disposition,koi_pdisposition,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_bin_oedp_sig,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_trans_mod,koi_model_snr,koi_model_dof,koi_model_chisq,epoch,koi_time0bk_err1,koi_time0bk_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,period,koi_period_err1,koi_period_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_comment,koi_vet_date,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvs,koi_disp_prov,koi_parm_prov,koi_time0,koi_time0_err1,koi_time0_err2,koi_datalink_dvr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_insol_err1,koi_insol_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_score,sky_coord.ra,sky_coord.dec,label,catalog,toi,toidisplay,toipfx,ctoi_alias,pl_pnum,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,rastr,raerr1,raerr2,rasymerr,decstr,decerr1,decerr2,decsymerr,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_orbpererr1,pl_orbpererr2,pl_orbpersymerr,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insolsymerr,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtsymerr,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim,sectors,toi_created,rowupdate,release_date,tce_plnt_num,tce_rogue_flag,tce_period_err,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
0,3363,7975727,K00418.01,,296.89938,0.0,19h47m35.85s,43.707218,0.0,+43d42m26.0s,15.117,,14.431,,14.206,,14.074,,13.063,0.022,12.691,0.021,12.583,0.024,14.479,,cumulative,Done,11111111111111111000000000000000,FALSE POSITIVE,FALSE POSITIVE,1.0,57.0,134.63127,852.9356,0.5369,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2175,0.4767,Mandel and Agol (2002 ApJ 580 171),944.4,,,172.797099,0.000139,-0.000139,0.0,,,,,,9.94,1.44,-1.3,0.1413,,,0.8,0.002,-0.002,5.349,0.0104,-0.0104,,,,11929.1,15.9,-15.9,22.418319842,3.823e-06,-3.823e-06,0.111908,0.000144,-0.000217,24.756,0.281,-0.281,88.15,,,563.0,,,5324.0,175.0,-143.0,4.491,0.11,-0.11,-0.3,0.35,-0.3,0.813,0.118,-0.106,0.746,0.113,-0.052,,,,q1_q17_dr25_stellar,0.0,19.79329077,3.3e-07,43.7072642,4e-06,-0.048,0.013,0.159,0.014,0.00019,0.00053,0.0008,0.00072,0.021,0.068,-0.004,0.067,0.022,0.068,0.03,0.068,-0.007,0.067,0.031,0.068,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,007/007975/007975727/dv/kplr007975727-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455005.797,0.000139,-0.000139,007/007975/007975727/dv/kplr007975727-20160209194854_dvr.pdf,0.0,1.0,0.0,0.0,23.8,11.73,-7.66,0.57108,0.00648,-0.00807,LS+MCMC,0.0,296.89938,43.707218,0,KOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,509,10272640,K01074.01,Kepler-762 b,291.27563,0.0,19h25m06.15s,47.329491,0.0,+47d19m46.2s,15.855,,15.39,,15.261,,15.206,,14.275,0.025,13.963,0.031,13.969,0.045,15.439,,cumulative,Done,00011111111111111000000000000000,CONFIRMED,CANDIDATE,1.0,305.0,55.306347,655.8089,0.1675,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.302,0.319,Mandel and Agol (2002 ApJ 580 171),100.8,,,357.11836,0.000904,-0.000904,0.0,,,,,,12.05,4.08,-1.35,0.0493,,,0.053,0.212,-0.053,3.8077,0.038,-0.038,,,,12440.0,144.0,-144.0,3.770551475,4.869e-06,-4.869e-06,0.102677,0.001103,-0.000637,8.357,0.19,-0.19,89.64,,,1302.0,,,6322.0,175.0,-263.0,4.426,0.056,-0.21,-0.12,0.25,-0.3,1.075,0.364,-0.121,1.124,0.164,-0.148,,,,q1_q17_dr25_stellar,0.0,19.41837588,4.6e-07,47.3295194,4.3e-06,-0.004,0.017,0.106,0.015,-0.00122,0.00068,0.00051,0.00097,0.002,0.067,-0.005,0.067,0.005,0.067,0.024,0.067,0.133,0.07,0.135,0.07,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,010/010272/010272640/dv/kplr010272640-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455190.118,0.000904,-0.000904,010/010272/010272640/dv/kplr010272640-20160209194854_dvr.pdf,0.0,0.0,0.0,0.0,679.75,678.84,-228.09,0.77649,0.01765,-0.09327,LS+MCMC,1.0,291.27563,47.329491,1,KOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17198,248075138,,,192.981203,,,-42.073617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2459332.02995,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9816784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.981203,-42.073617,1,TOI,769.01,TOI-769.01,769.0,248075138.01,1.0,KP,11.3728,0.006,-0.006,1.0,0.0,12h51m55.49s,,,0.0,-42d04m25.02s,,,0.0,-49.781,0.061,-0.061,1.0,0.0,4.865,0.064,-0.064,1.0,0.0,0.000279,-0.000279,1.0,0.0,3e-06,-3e-06,1.0,0.0,2.733,0.053,-0.053,1.0,0.0,18110.0,1.51789,-1.51789,1.0,0.0,10.7801,0.64077,-0.64077,1.0,0.0,137.118,,,0.0,0.0,953.0,,,0.0,0.0,177.291,1.3105,-1.3105,1.0,0.0,5315.0,,,1.0,0.0,4.51737,,,1.0,0.0,0.79,0.05,-0.05,1.0,0.0,,2019-06-11 20:03:40,2023-01-25 10:10:01,2025-08-25 10:17:58,,,,,,,,,,,,,,,,,,,,,,,
3,1946,5125347,K02241.01,Kepler-1812 b,298.08453,0.0,19h52m20.29s,40.283249,0.0,+40d16m59.7s,15.822,,15.265,,15.079,,15.009,,14.108,0.024,13.847,0.034,13.719,0.04,15.302,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,1.0,181.0,3.7747808,15.025204,0.1444,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3024,0.3288,Mandel and Agol (2002 ApJ 580 171),17.6,,,132.96921,0.00302,-0.00302,0.0,,,,,,2.31,0.74,-0.27,0.0765,,,0.142,0.315,-0.142,1.705,0.108,-0.108,,,,433.8,29.0,-29.0,7.16520428,2.673e-05,-2.673e-05,0.019138,0.000911,-0.000774,32.4,1.5,-1.5,89.75,,,1034.0,,,6174.0,173.0,-260.0,4.417,0.054,-0.216,0.1,0.25,-0.3,1.103,0.358,-0.128,1.162,0.158,-0.158,,,,q1_q17_dr25_stellar,0.153,19.8723,2e-05,40.28302,0.00019,-0.07,0.81,-0.82,0.67,0.00019,0.00035,0.00028,0.0003,0.39,0.55,-0.17,0.27,0.42,0.56,0.4,0.52,-0.12,0.24,0.42,0.53,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,005/005125/005125347/dv/kplr005125347-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454965.969,0.00302,-0.00302,005/005125/005125347/dv/kplr005125347-20160209194854_dvr.pdf,0.0,0.0,0.0,0.0,270.34,259.4,-92.5,12.53756,0.56756,-6.50403,LS+MCMC,0.984,298.08453,40.283249,1,KOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4594,6592335,K04777.01,Kepler-1971 b,287.26215,0.0,19h09m02.92s,42.03231,0.0,+42d01m56.3s,17.623,,16.182,,15.156,,14.621,,13.221,0.021,12.671,0.021,12.449,0.018,15.896,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,2.0,1620.0,8.461754,8.393605,,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3112,0.4029,Mandel and Agol (2002 ApJ 580 171),12.3,,,131.80421,0.0032,-0.0032,0.0,,,,,,0.42,0.07,-0.08,0.0113,,,0.7697,1.209,-0.4345,0.855,0.197,-0.197,,,,183.1,23.0,-23.0,0.824000125,2.811e-06,-2.811e-06,0.013728,0.051019,-0.003729,4.93,2.4,-2.4,80.79,,,746.0,,,3396.0,50.0,-50.0,4.991,0.06,-0.06,-0.1,0.1,-0.1,0.28,0.05,-0.05,0.28,0.05,-0.05,,,,stellar_q1_q16,0.0,19.150829,4.9e-05,42.03373,0.00055,0.8,2.0,5.1,2.0,-5e-05,0.00014,-0.00037,0.00014,0.22,0.66,0.93,1.0,1.0,1.1,0.11,0.72,0.7,1.1,0.7,1.2,SIG_SEC_IN_ALT_MODEL_SHIFT---ALT_SEC_SAME_DEPTH_AS_PRI_COULD_BE_TWICE_TRUE_PERIOD---EYEBALL---CLEAR_APO---TOO_FEW_QUARTERS,2018-08-16 00:00:00,1.0,q1_q17_dr24_tce,006/006592/006592335/dv/kplr006592335-001-20141002224145_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr24_koi,2454964.804,0.0032,-0.0032,006/006592/006592335/dv/kplr006592335-20141002224145_dvr.pdf,0.0,0.0,0.0,0.0,73.09,34.54,-26.62,3.33776,12.95225,-1.37762,MCMC,,287.26215,42.03231,1,KOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,36297,8155291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.564,,,,,,,,,,,,,,,,,,,,,,,,,,,0.597034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,TCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7.38372e-06,0.00176993,0.892,0.3457,1.836,0.1644,23.42,2.31,13.61,0.8857,0.3542,3050.0,294.0,20600.75,7922.51,6842.0,283.0,4.18,0.18,1.579,0.493
6,301,9347899,K00935.01,Kepler-31 b,294.02301,0.0,19h36m05.52s,45.853081,0.0,+45d51m11.1s,15.592,,15.199,,15.086,,15.071,,14.233,0.029,13.984,0.038,13.871,0.05,15.237,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,4.0,67.0,16.663143,94.8957,0.3528,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2949,0.3354,Mandel and Agol (2002 ApJ 580 171),117.0,,,180.017757,0.000934,-0.000934,0.0,,,,,,5.5,0.82,-1.09,0.1462,,,0.066,0.253,-0.065,5.1937,0.0335,-0.0335,,,,1910.5,17.5,-17.5,20.86021229,2.386e-05,-2.386e-05,0.040067,0.000513,-0.000214,31.855,0.317,-0.317,89.88,,,781.0,,,6035.0,120.0,-120.0,4.22,0.168,-0.112,-0.28,0.15,-0.15,1.257,0.187,-0.25,0.958,0.076,-0.068,,,,q1_q17_dr25_stellar,0.057,19.6015349,3.3e-06,45.853038,3.5e-05,0.03,0.12,-0.15,0.13,-0.00044,0.00025,1e-05,0.00028,0.0,0.083,0.01,0.1,0.01,0.1,-0.023,0.083,0.03,0.1,0.036,0.09,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,009/009347/009347899/dv/kplr009347899-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455013.018,0.000934,-0.000934,009/009347/009347899/dv/kplr009347899-20160209194854_dvr.pdf,0.0,0.0,0.0,0.0,87.76,37.54,-35.79,1.40526,0.01397,-0.26033,LS+MCMC,1.0,294.02301,45.853081,1,KOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4172,5959719,K02498.02,Kepler-390 c,291.62878,0.0,19h26m30.91s,41.208599,0.0,+41d12m31.0s,14.559,,13.907,,13.678,,13.572,,12.584,0.021,12.194,0.018,12.075,0.023,13.942,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,2.0,98.0,3.1528468,9.569488,0.5169,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2043,0.4966,Mandel and Agol (2002 ApJ 580 171),12.5,,,144.33107,0.00642,-0.00642,0.0,,,,,,0.8,0.06,-0.04,0.1006,,,0.495,0.027,-0.449,2.851,0.248,-0.248,,,,106.8,9.7,-9.7,13.0600399,0.0001119,-0.0001119,0.009582,0.000236,-0.000841,30.81,7.7,-7.7,89.08,,,630.0,,,5168.0,102.0,-102.0,4.566,0.036,-0.048,-0.12,0.15,-0.15,0.769,0.049,-0.04,0.793,0.045,-0.045,,,,q1_q17_dr25_stellar,0.883,19.441915,2.6e-05,41.20873,0.00029,-0.1,1.1,0.5,1.0,2.2e-05,9.7e-05,2e-05,9.5e-05,-0.05,0.7,0.32,0.72,0.32,0.66,0.05,0.75,0.97,0.72,0.97,0.74,CENT_KIC_POS,2018-08-16 00:00:00,2.0,q1_q17_dr25_tce,005/005959/005959719/dv/kplr005959719-002-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454977.331,0.00642,-0.00642,005/005959/005959719/dv/kplr005959719-20160209194854_dvr.pdf,0.0,0.0,0.0,0.0,37.3,8.34,-6.35,3.24406,1.63183,-1.66356,LS+MCMC,0.905,291.62878,41.208599,1,KOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,41310,9533489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.178,,,,,,,,,,,,,,,,,,,,,,,,,,,197.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,TCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.000166825,0.000458649,0.8528,0.05358,1.678,0.09809,4680.0,73.51,125.9,15.02,4.63,498.0,50.5,14.55,5.9,7214.0,342.0,4.09,0.19,1.935,0.593
9,10458,251848941,,,7.302011,,,-30.454116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2458362.954199,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9616347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.302011,-30.454116,1,TOI,178.03,TOI-178.03,178.0,251848941.03,3.0,CP,10.42,0.006,-0.006,1.0,0.0,00h29m12.48s,,,0.0,-30d27m14.82s,,,0.0,149.953,0.073,-0.073,1.0,0.0,-87.253,0.042,-0.042,1.0,0.0,0.002034,-0.002034,1.0,0.0,2.27e-05,-2.27e-05,1.0,0.0,2.4648052,0.39347,-0.39347,1.0,0.0,1084.4327062,94.1892,-94.1892,1.0,0.0,2.2807327,0.9848358,-0.9848358,1.0,0.0,21.8201851,,,0.0,0.0,551.2319188,,,0.0,0.0,62.699,0.20675,-0.20675,1.0,0.0,4111.0,171.0,-171.0,1.0,0.0,4.55528,0.449348,-0.449348,1.0,0.0,0.660806,0.0596206,-0.0596206,1.0,0.0,,2018-11-03 00:53:39,2024-10-03 10:08:02,2025-08-25 10:17:58,,,,,,,,,,,,,,,,,,,,,,,
