2026-01-03 23:20:39 | INFO     | ExoplanetDownloader | Logging initialized. Log file: logs\download_20260103_232039.log
2026-01-03 23:20:39 | INFO     | ExoplanetDownloader | Querying NASA Exoplanet Archive (query only mode)...
2026-01-03 23:20:39 | INFO     | ExoplanetDownloader | Querying Kepler confirmed planets...
2026-01-03 23:20:39 | DEBUG    | ExoplanetDownloader | Executing query: SELECT kepid, kepoi_name, kepler_name, koi_disposition, koi_period, koi_period_err1, koi_period_err2...
2026-01-03 23:20:45 | INFO     | ExoplanetDownloader | Query returned 2746 rows
2026-01-03 23:20:45 | INFO     | ExoplanetDownloader | Retrieved 2746 Kepler confirmed planets
2026-01-03 23:20:45 | INFO     | ExoplanetDownloader | Querying K2 confirmed planets...
2026-01-03 23:20:45 | DEBUG    | ExoplanetDownloader | Executing query: SELECT tic_id, pl_name, hostname, disc_facility, pl_orbper, pl_orbpererr1, pl_orbpererr2, pl_trandep...
2026-01-03 23:20:47 | WARNING  | ExoplanetDownloader | Query attempt 1 failed: HTTP Error 400: ERROR
2026-01-03 23:20:51 | WARNING  | ExoplanetDownloader | Query attempt 2 failed: HTTP Error 400: ERROR
2026-01-03 23:20:55 | WARNING  | ExoplanetDownloader | Query attempt 3 failed: HTTP Error 400: ERROR
2026-01-03 23:20:55 | ERROR    | ExoplanetDownloader | Query failed after 3 attempts
2026-01-03 23:20:55 | INFO     | ExoplanetDownloader | Querying TESS confirmed planets...
2026-01-03 23:20:55 | DEBUG    | ExoplanetDownloader | Executing query: SELECT tic_id, pl_name, hostname, disc_facility, pl_orbper, pl_orbpererr1, pl_orbpererr2, pl_trandep...
2026-01-03 23:20:58 | WARNING  | ExoplanetDownloader | Query attempt 1 failed: HTTP Error 400: ERROR
2026-01-03 23:21:01 | WARNING  | ExoplanetDownloader | Query attempt 2 failed: HTTP Error 400: ERROR
2026-01-03 23:21:06 | WARNING  | ExoplanetDownloader | Query attempt 3 failed: HTTP Error 400: ERROR
2026-01-03 23:21:06 | ERROR    | ExoplanetDownloader | Query failed after 3 attempts
